OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding Status,Geocoding Query
1953,FAS MART #3555,"I-64, EXIT 136 & US-15",Gordonsville,VA,180,3.699,38.1347217,-78.1865043,success,"FAS MART #3555, Gordonsville, VA, USA"
1954,Joe's Kwik Mart #8409,US-58 & CR-645,Suffolk,VA,130,3.03233333,36.7219013,-76.6390945,success,"Joe's Kwik Mart #8409, Suffolk, VA, USA"
1956,PILOT TRAVEL CENTER #4642,"I-81, EXIT 291",Toms Brook,VA,60,3.659,38.9464989,-78.4391741,success,"PILOT TRAVEL CENTER #4642, Toms Brook, VA, USA"
1958,SPEEDWAY #4618,"I-81 & I-77, EXIT 77",Wytheville,VA,185,3.41233333,36.9360548,-80.9942171,success,"SPEEDWAY #4618, Wytheville, VA, USA"
1960,MAPLEWOOD IRVING,"I-89, EXIT 7",Montpelier,VT,170,3.699,44.2602244,-72.5750364,success,"MAPLEWOOD IRVING, Montpelier, VT, USA"
1962,SUPER QUIK,"I-64, EXIT 172 & SR-1/SR-7",Grayson,KY,255,3.799,38.3478863,-82.9415399,success,"SUPER QUIK, Grayson, KY, USA"
1976,One9 #963,"I-90, EXIT 276",Spokane,WA,970,3.989,47.6571934,-117.42351,success,"One9 #963, Spokane, WA, USA"
1977,GEE CEES TRUCK STOP,"I-5, EXIT 57",Toledo,WA,977,3.839,46.4401007,-122.8467555,success,"GEE CEES TRUCK STOP, Toledo, WA, USA"
1983,KWIK TRIP #427,"US-53, EXIT 110 & SR-40",Bloomer,WI,295,3.41566666,45.10036,-91.508786,success,"KWIK TRIP #427, Bloomer, WI, USA"
1985,Camp Douglas BP,"I-90 & I-94, EXIT 55",Camp Douglas,WI,420,3.154,43.9193145,-90.2681006,success,"Camp Douglas BP, Camp Douglas, WI, USA"
2000,RIVER CITY TRAVEL PLAZA,US-41,Marinette,WI,360,3.399,45.0999594,-87.6307265,success,"RIVER CITY TRAVEL PLAZA, Marinette, WI, USA"
2002,KWIK TRIP #222,US-53/US-2,Superior,WI,334,3.339,46.6666189,-92.1055058,success,"KWIK TRIP #222, Superior, WI, USA"
